delta/B,3T1g(F),3T2g(F),3A2g(F),1T2g(D),1Eg(D),3T1g(P),1T2g(G),1Eg(G),1T1g(G),1A1g(G),1A1g(S),D/B,3T2g(F)-Th,3A2g(F)-Th,3T1g(P)-Th
0,0,0,0,13.84,13.84,15,20.84,20.84,20.84,20.84,52.94,0,0,0,15
0.609,0.000,0.491,1.101,14.057,14.365,15.373,20.996,21.297,21.331,21.442,53.320,0.2,0.1604,0.3604,15.1208
1.219,0.000,0.990,2.209,14.255,14.792,15.762,21.186,21.868,21.830,22.029,53.731,0.4,0.3217,0.7217,15.2434
1.828,0.000,1.496,3.324,14.433,15.126,16.163,21.410,22.546,22.336,22.599,54.171,0.6,0.4837,1.0837,15.3675
2.438,0.000,2.008,4.446,14.591,15.378,16.578,21.667,23.317,22.848,23.153,54.642,0.8,0.6466,1.4466,15.4932
3.047,0.000,2.526,5.573,14.730,15.566,17.004,21.954,24.165,23.365,23.689,55.141,1,0.8102,1.8102,15.6205
3.657,0.000,3.049,6.706,14.850,15.702,17.441,22.270,25.076,23.889,24.207,55.670,1.2,0.9746,2.1746,15.7493
4.266,0.000,3.577,7.844,14.954,15.800,17.888,22.614,26.034,24.417,24.706,56.228,1.4,1.1398,2.5398,15.8795
4.876,0.000,4.110,8.986,15.043,15.869,18.345,22.982,27.031,24.950,25.186,56.813,1.6,1.3056,2.9056,16.0112
5.485,0.000,4.648,10.133,15.118,15.917,18.810,23.372,28.058,25.488,25.648,57.426,1.8,1.4722,3.2722,16.1443
6.095,0.000,5.189,11.284,15.182,15.948,19.283,23.781,29.109,26.029,26.091,58.066,2,1.6394,3.6394,16.2788
6.704,0.000,5.734,12.439,15.235,15.968,19.764,24.209,30.180,26.574,26.515,58.733,2.2,1.8073,4.0073,16.4146
7.314,0.000,6.283,13.597,15.279,15.979,20.252,24.652,31.266,27.123,26.920,59.424,2.4,1.9759,4.3759,16.5517
7.923,0.000,6.835,14.758,15.315,15.983,20.746,25.110,32.366,27.674,27.307,60.141,2.6,2.1451,4.7451,16.6901
8.533,0.000,7.389,15.922,15.346,15.981,21.246,25.580,33.477,28.229,27.677,60.881,2.8,2.3149,5.1149,16.8297
9.142,0.000,7.947,17.089,15.370,15.976,21.752,26.061,34.597,28.787,28.029,61.644,3,2.4853,5.4853,16.9706
9.752,0.000,8.507,18.259,15.390,15.968,22.263,26.552,35.726,29.347,28.365,62.428,3.2,2.6563,5.8563,17.1126
10.361,0.000,9.070,19.431,15.406,15.958,22.778,27.052,36.861,29.910,28.684,63.234,3.4,2.8279,6.2279,17.2557
10.971,0.000,9.635,20.605,15.418,15.946,23.299,27.560,38.003,30.474,28.988,64.060,3.6,3.0000,6.6000,17.4000
11.580,0.000,10.202,21.782,15.428,15.932,23.823,28.075,39.150,31.041,29.277,64.905,3.8,3.1727,6.9727,17.5454
12.190,0.000,10.771,22.960,15.435,15.918,24.352,28.596,40.302,31.610,29.551,65.769,4,3.3459,7.3459,17.6918
12.799,0.000,11.341,24.141,15.440,15.904,24.884,29.123,41.459,32.181,29.812,66.649,4.2,3.5196,7.7196,17.8393
13.409,0.000,11.914,25.323,15.444,15.888,25.419,29.655,42.619,32.754,30.060,67.546,4.4,3.6939,8.0939,17.9878
14.018,0.000,12.488,26.506,15.445,15.873,25.958,30.192,43.783,33.328,30.296,68.459,4.6,3.8686,8.4686,18.1373
14.628,0.000,13.064,27.691,15.446,15.858,26.500,30.734,44.950,33.904,30.520,69.386,4.8,4.0439,8.8439,18.2877
15.237,0.000,13.641,28.878,15.446,15.842,27.045,31.279,46.119,34.481,30.733,70.328,5,4.2195,9.2195,18.4391
